Site,Species,Plot,Position,Tag_ID,Population,GreenhouseID,Clone,Endo,Tiller_24,Flowering ,date_24,Herbivory_treatment
KER,ELVI,7,4,D2_KE7_4,PALM,B35-30,NA,1,5,0,3-7-2024,0
KER,ELVI,7,5,D2_KE7_5,SHS,106-36A-8,NA,1,8,0,3-7-2024,0
KER,ELVI,7,6,D2_KE7_6,RL5,D30-1,NA,1,7,0,3-7-2024,0
KER,ELVI,7,7,D2_KE7_7,PALM,B35-29,NA,1,7,0,3-7-2024,0
KER,ELVI,7,8,D2_KE7_8,SHS,106-36A-2,NA,1,8,0,3-7-2024,0
KER,ELVI,7,9,D2_KE7_9,JLP,110-2A-33,NA,1,10,0,3-7-2024,0
KER,ELVI,7,10,D2_KE7_10,JLP,110-2A-32,NA,1,4,0,3-7-2024,0
KER,ELVI,7,11,D2_KE7_11,SHS,107-160A-4,NA,0,3,0,3-7-2024,0
KER,ELVI,7,12,D2_KE7_12,JLP,110-2A-31,NA,1,2,0,3-7-2024,0
KER,ELVI,7,13,D2_KE7_13,RL5,D30-3,NA,1,10,0,3-7-2024,0
KER,ELVI,7,14,D2_KE7_14,JLP,110-52C-19,NA,0,2,0,3-7-2024,0
KER,ELVI,7,15,D2_KE7_15,RL5,D30-2,NA,1,10,0,3-7-2024,0
KER,ELVI,8,1,3227,SHS,107-160A-11,NA,0,5,0,3-7-2024,1
KER,ELVI,8,2,3229,RL5,D11,AB,0,10,0,3-7-2024,1
KER,ELVI,8,3,3230,RL5,C65,AB,0,7,0,3-7-2024,1
KER,ELVI,8,4,3231,SHS,107-160A-12,NA,0,5,0,3-7-2024,1
KER,ELVI,8,5,3262,RL5,C36,AD,0,7,0,3-7-2024,1
KER,ELVI,8,6,3263,JLP,110-52C-7,NA,0,2,0,3-7-2024,1
KER,ELVI,8,7,3264,JLP,110-52C-9,NA,0,2,0,3-7-2024,1
KER,ELVI,8,8,3271,JLP,110-52C-8,NA,0,2,0,3-7-2024,1
KER,ELVI,8,9,3269,PALM,63,AF,0,2,0,3-7-2024,1
KER,ELVI,8,10,3270,JLP,110-2A-38,NA,1,5,0,3-7-2024,1
KER,ELVI,8,11,3267,PALM,B35-13,NA,1,3,0,3-7-2024,1
KER,ELVI,8,12,3266,PALM,108,AE,0,2,0,3-7-2024,1
KER,ELVI,8,13,3226,PALM,D59-7,NA,1,5,0,3-7-2024,1
KER,ELVI,8,14,3265,SHS,107-160A-10,NA,0,5,0,3-7-2024,1
KER,ELVI,8,15,3268,PALM,103,AI,0,6,0,3-7-2024,1
KER,AGHY,1,1,3001,COHR,35-1-39-AB,AB,1,16,0,3-7-2024,0
KER,AGHY,1,2,3002,LPEF,2024-04-08,NA,1,11,0,3-7-2024,0
KER,AGHY,1,3,3003,COHR,2-24-2001,NA,1,10,0,3-7-2024,0
KER,AGHY,1,4,3004,SJC,242-11-3,NA,1,4,0,3-7-2024,0
KER,AGHY,1,5,D2_KA1_5,SJC,242-11-1,NA,0,13,0,3-7-2024,0
KER,AGHY,1,6,3005,COHR,234-1,AA,0,12,0,3-7-2024,0
KER,AGHY,1,7,3006,LPEF,207-7-11A,NA,0,8,0,3-7-2024,0
KER,AGHY,1,8,3007,COHR,35-1-36-AA,AA,1,18,0,3-7-2024,0
KER,AGHY,1,9,3008,SJC,242-11-4,NA,1,4,0,3-7-2024,0
KER,AGHY,1,10,3009,SJC,242-11-5,NA,1,11,0,3-7-2024,0
KER,AGHY,1,11,3010,SJC,242-11-2,NA,1,13,0,3-7-2024,0
KER,AGHY,1,12,3011,COHR,2-24-2,NA,1,7,0,3-7-2024,0
KER,AGHY,1,13,3012,LPEF,2024-04-07,NA,1,9,0,3-7-2024,0
KER,AGHY,1,14,3013,LPEF,2024-04-06,NA,1,9,0,3-7-2024,0
KER,AGHY,1,15,3014,COHR,35-1-39,AA,1,12,0,3-7-2024,0
KER,AGHY,2,1,3019,SJC,134-9-1,NA,1,5,0,3-7-2024,0
KER,AGHY,2,2,3020,COHR,35-1-36-AA,AA,1,20,0,3-7-2024,0
KER,AGHY,2,3,D2_KA2_3,COHR,35-1-39-AB,AB,1,12,0,3-7-2024,0
KER,AGHY,2,4,3021,SJC,242-11-11,NA,1,8,0,3-7-2024,0
KER,AGHY,2,5,3017,COHR,23,AA,0,13,0,3-7-2024,0
KER,AGHY,2,6,3018,LPEF,2024-04-14,NA,1,7,0,3-7-2024,0
KER,AGHY,2,7,D2_KA2_7,COHR,25,AA,0,8,0,3-7-2024,0
KER,AGHY,2,8,3016,SJC,242-11-10,NA,1,9,0,3-7-2024,0
KER,AGHY,2,9,3015,SJC,42-4-94,AA,0,8,0,3-7-2024,0
KER,AGHY,2,10,3022,COHR,25,AB,0,11,0,3-7-2024,0
KER,AGHY,2,11,3023,COHR,2-24-3,NA,1,7,0,3-7-2024,0
KER,AGHY,2,12,D2_KA2_12,COHR,35-1-39,AB,1,8,0,3-7-2024,0
KER,AGHY,2,13,3024,LPEF,207-7-10A,NA,0,7,0,3-7-2024,0
KER,AGHY,2,14,D2_KA2_14,LPEF,2024-04-15,NA,1,13,0,3-7-2024,0
